# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:rho
2560	4.0000000000001878e-01	0	0	102	2	2	-4.3593749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	103	2	2	-4.3531249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	104	2	2	-4.3468750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	105	2	2	-4.3406250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	106	2	2	-4.3343750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	107	2	2	-4.3281249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	108	2	2	-4.3218750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	109	2	2	-4.3156250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	110	2	2	-4.3093750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	111	2	2	-4.3031249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	112	2	2	-4.2968750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	113	2	2	-4.2906250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	114	2	2	-4.2843750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	115	2	2	-4.2781249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	116	2	2	-4.2718750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	117	2	2	-4.2656250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	118	2	2	-4.2593750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	119	2	2	-4.2531249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	120	2	2	-4.2468750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	121	2	2	-4.2406250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	122	2	2	-4.2343750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	123	2	2	-4.2281249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	124	2	2	-4.2218749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	125	2	2	-4.2156250000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	126	2	2	-4.2093750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	127	2	2	-4.2031249999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	128	2	2	-4.1968749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	129	2	2	-4.1906250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	130	2	2	-4.1843750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	131	2	2	-4.1781250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	132	2	2	-4.1718749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	133	2	2	-4.1656250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	134	2	2	-4.1593750000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	135	2	2	-4.1531250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	136	2	2	-4.1468749999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	137	2	2	-4.1406250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	138	2	2	-4.1343750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	139	2	2	-4.1281250000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	140	2	2	-4.1218749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	141	2	2	-4.1156250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	142	2	2	-4.1093750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	143	2	2	-4.1031250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	144	2	2	-4.0968749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	145	2	2	-4.0906250000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	146	2	2	-4.0843750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	147	2	2	-4.0781250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	148	2	2	-4.0718749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	149	2	2	-4.0656249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	150	2	2	-4.0593750000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	151	2	2	-4.0531250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	152	2	2	-4.0468749999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	153	2	2	-4.0406249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	154	2	2	-4.0343750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	155	2	2	-4.0281250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	156	2	2	-4.0218750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	157	2	2	-4.0156249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	158	2	2	-4.0093750000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	159	2	2	-4.0031250000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	160	2	2	-3.9968750000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
2560	4.0000000000001878e-01	0	0	161	2	2	-3.9906249999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	1.0000000000000000e+00
