# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:Bvecx	12:Bvecy	13:Bvecz
1280	3.9999999999999286e-01	0	0	112	2	2	-3.5937500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9755536459261596e-01	-7.3774236255062653e-19
1280	3.9999999999999286e-01	0	0	113	2	2	-3.5812500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9675500111444459e-01	2.0479910880442880e-17
1280	3.9999999999999286e-01	0	0	114	2	2	-3.5687500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.9574209035133010e-01	7.0350007845986774e-17
1280	3.9999999999999286e-01	0	0	115	2	2	-3.5562500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.9447826825551178e-01	1.0164899606250215e-16
1280	3.9999999999999286e-01	0	0	116	2	2	-3.5437500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9292409704163509e-01	1.7638637965038361e-17
1280	3.9999999999999286e-01	0	0	117	2	2	-3.5312500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.9104086737968133e-01	-3.4646349809131108e-17
1280	3.9999999999999286e-01	0	0	118	2	2	-3.5187499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000056e-01	9.8879271522999490e-01	-1.1658616394366135e-17
1280	3.9999999999999286e-01	0	0	119	2	2	-3.5062500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.8614888891745411e-01	-7.5397933874746894e-17
1280	3.9999999999999286e-01	0	0	120	2	2	-3.4937499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.8308594532854410e-01	-1.1069595678244410e-16
1280	3.9999999999999286e-01	0	0	121	2	2	-3.4812500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.7958962295163454e-01	-2.3507561566129136e-17
1280	3.9999999999999286e-01	0	0	122	2	2	-3.4687499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000067e-01	9.7565614601052020e-01	4.1502035198903549e-17
1280	3.9999999999999286e-01	0	0	123	2	2	-3.4562500000000002e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.7129276243422091e-01	4.3318099916817407e-17
1280	3.9999999999999286e-01	0	0	124	2	2	-3.4437499999999999e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.6651740274761444e-01	-3.5477191529156821e-18
1280	3.9999999999999286e-01	0	0	125	2	2	-3.4312500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000056e-01	9.6135745206208356e-01	-3.6537165337079676e-17
1280	3.9999999999999286e-01	0	0	126	2	2	-3.4187499999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.5584773003987245e-01	-3.7877710887710272e-17
1280	3.9999999999999286e-01	0	0	127	2	2	-3.4062500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.5002785062141992e-01	-6.0397906364796358e-19
1280	3.9999999999999286e-01	0	0	128	2	2	-3.3937499999999998e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000044e-01	9.4393916554550339e-01	-1.8260354605758736e-17
1280	3.9999999999999286e-01	0	0	129	2	2	-3.3812500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000022e-01	9.3762148196362793e-01	-3.9117747360346512e-17
1280	3.9999999999999286e-01	0	0	130	2	2	-3.3687500000000004e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000011e-01	9.3110976505519560e-01	3.4138392872958884e-17
1280	3.9999999999999286e-01	0	0	131	2	2	-3.3562500000000001e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000033e-01	9.2443412043854212e-01	5.8340055250399531e-17
1280	3.9999999999999286e-01	0	0	132	2	2	-3.3437500000000003e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000067e-01	9.1767582422715011e-01	8.0550111227793543e-18
1280	3.9999999999999286e-01	0	0	133	2	2	-3.3312500000000000e-01	1.2499999999999997e-02	1.2499999999999997e-02	5.0000000000000056e-01	9.1101620760606483e-01	1.5072497742927064e-17
